id,score_date,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease
JMAN_9258120,2023-03-17,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2468303,2023-03-31,8.0,0.125,8.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9004478,2023-02-10,5.0,0.2,5.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_18390982,2023-01-06,2.0,0.0,8.789672861828274,2.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_9023149,2023-01-13,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_15982019,2023-02-24,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2481177,2023-01-06,40.0,0.102564103,39.0,40.0,0.0,1.0,0.975,0.975,0.0,0.0
JMAN_9001356,2023-02-17,54.0,0.021276596,51.0,54.0,0.0,1.0,0.87037037,0.944444444,0.0,1.0
JMAN_2470297,2023-02-03,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_11604060,2023-02-24,2.0,0.0,1.0,2.0,0.0,1.0,0.5,0.5,0.0,0.0
JMAN_2390400,2023-02-10,3.0,0.0,2.0,3.0,0.0,1.0,0.666666667,0.666666667,0.0,0.0
JMAN_2464269,2023-01-13,3.0,0.5,2.0,3.0,0.0,1.0,0.666666667,0.666666667,0.0,0.0
JMAN_9001380,2023-02-24,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9021651,2023-02-03,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2449317,2023-03-10,3.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2472373,2023-03-10,7.0,0.285714286,6.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2452751,2023-02-03,24.0,0.095238095,21.0,24.0,1.0,0.0,0.875,0.875,0.0,0.0
JMAN_2457731,2023-03-31,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2450544,2023-02-24,4.0,0.75,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9021157,2023-03-31,4.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2447191,2023-02-03,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_1286382,2023-02-10,38.0,0.34375,33.0,38.0,0.0,1.0,0.842105263,0.868421053,0.0,1.0
JMAN_2478470,2023-02-10,4.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9036591,2023-01-20,12.0,0.0,5.0,12.0,0.0,1.0,0.416666667,0.416666667,0.0,0.0
JMAN_2331419,2023-02-03,15.0,0.0,14.0,15.0,0.0,1.0,0.933333333,0.933333333,0.0,0.0
JMAN_2475429,2023-02-10,3.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2475334,2023-03-31,3.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2479512,2023-03-17,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9032708,2023-02-03,7.0,0.0,7.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2461834,2023-02-24,3.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2445795,2023-03-31,4.0,0.5,4.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0
JMAN_2469134,2023-03-31,15.0,0.0,9.0,15.0,0.0,1.0,0.6,0.6,0.0,0.0
JMAN_2447281,2023-02-17,3.0,0.333333333,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
JMAN_11633303,2023-01-13,16.0,0.0,11.0,16.0,0.0,1.0,0.6875,0.6875,0.0,0.0
JMAN_2445669,2023-03-03,17.0,0.058823529,15.0,15.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_18362858,2023-03-03,1.0,0.0,8.789672861828274,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_2375196,2023-01-27,4.0,0.0,3.0,4.0,0.0,0.0,0.75,0.75,0.0,0.0
JMAN_9892189,2023-03-24,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
