id,score_date,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr
JMAN_9002159,2023-02-17,17013.72,17343.36,0.0,329.64,0.0,0.0
JMAN_2414128,2023-03-24,12672.0,16512.0,3840.0,0.0,0.0,0.0
JMAN_2480262,2023-01-13,108.0,108.0,0.0,0.0,0.0,0.0
JMAN_9030043,2023-01-13,17280.0,19440.0,2160.0,0.0,2160.0,0.0
JMAN_9028695,2023-03-31,4296.0,5256.0,960.0,0.0,0.0,0.0
JMAN_2438346,2023-03-17,13000.8,13625.28,0.0,624.48,0.0,0.0
JMAN_2466569,2023-03-31,17075.28,17490.12,0.0,414.84,0.0,0.0
JMAN_2463062,2023-03-31,14796.0,14796.0,0.0,0.0,0.0,0.0
JMAN_18839586,2023-03-17,336.0,336.0,0.0,0.0,0.0,0.0
JMAN_15336980,2023-02-03,1416.0,10591.926642995482,-1416.0,0.0,0.0,-1416.0
JMAN_9014349,2023-02-24,84720.0,84720.0,0.0,0.0,0.0,0.0
JMAN_2451881,2023-03-10,815.28,835.08,0.0,19.8,0.0,0.0
JMAN_12581551,2023-01-13,816.0,1224.0,408.0,0.0,408.0,0.0
JMAN_11272416,2023-02-24,9600.0,9600.0,0.0,0.0,0.0,0.0
JMAN_9357280,2023-01-13,300.0,300.0,0.0,0.0,0.0,0.0
JMAN_2357251,2023-02-24,180.0,180.0,0.0,0.0,0.0,0.0
JMAN_2465581,2023-01-13,23760.0,36000.0,12240.0,0.0,0.0,0.0
JMAN_9000240,2023-03-31,433.08,443.64,0.0,10.56,0.0,0.0
JMAN_14142262,2023-01-13,4313.52,4502.88,0.0,189.36,0.0,0.0
JMAN_2375471,2023-01-27,10296.0,11232.0,936.0,0.0,936.0,0.0
JMAN_2462569,2023-01-27,1608.12,1626.84,0.0,18.72,0.0,0.0
JMAN_9662440,2023-02-24,32373.0,32373.0,0.0,0.0,0.0,0.0
JMAN_2483316,2023-01-27,420.0,420.0,0.0,0.0,0.0,0.0
JMAN_2452556,2023-03-31,595.56,806.88,181.92,29.4,0.0,0.0
JMAN_2462717,2023-03-03,2952.0,2952.0,0.0,0.0,0.0,0.0
JMAN_9036591,2023-03-17,22931.16,23488.44,0.0,557.28,0.0,0.0
JMAN_10148809,2023-03-24,18000.0,19260.0,1260.0,0.0,0.0,0.0
JMAN_9016394,2023-03-31,1008.0,1260.0,252.0,0.0,0.0,0.0
JMAN_12791979,2023-02-03,1764.0,588.0,-1176.0,0.0,-1176.0,0.0
JMAN_2452905,2023-01-13,456.0,456.0,0.0,0.0,0.0,0.0
JMAN_9033523,2023-03-17,2522.4,2583.72,0.0,61.32,0.0,0.0
JMAN_9028182,2023-03-03,11400.0,11400.0,0.0,0.0,0.0,0.0
JMAN_16090733,2023-03-03,1140.0,1140.0,0.0,0.0,0.0,0.0
JMAN_2451330,2023-01-20,1224.0,1224.0,0.0,0.0,0.0,0.0
JMAN_2451905,2023-01-20,3564.0,3564.0,0.0,0.0,0.0,0.0
JMAN_2453288,2023-03-10,960.0,5340.0,4380.0,0.0,1488.0,1380.0
JMAN_2457086,2023-01-20,2856.0,3672.0,816.0,0.0,816.0,0.0
JMAN_2467540,2023-01-27,6072.0,10591.926642995482,-6130.2,58.2,0.0,-6130.2
JMAN_9014349,2023-03-17,84720.0,84720.0,0.0,0.0,0.0,0.0
JMAN_10281567,2023-03-31,5688.0,5688.0,0.0,0.0,0.0,0.0
JMAN_2474309,2023-01-20,120.0,10591.926642995482,-120.0,0.0,0.0,-120.0
JMAN_9028556,2023-02-03,228.0,228.0,0.0,0.0,0.0,0.0
JMAN_10489734,2023-02-10,240.0,240.0,0.0,68.04,0.0,0.0
JMAN_18411228,2023-02-24,168.0,168.0,0.0,0.0,0.0,0.0
JMAN_15702888,2023-01-27,684.0,684.0,0.0,0.0,0.0,0.0
JMAN_16079210,2023-03-17,504.0,504.0,0.0,0.0,0.0,0.0
JMAN_15806097,2023-02-24,588.0,2376.0,1788.0,0.0,588.0,0.0
JMAN_9007298,2023-02-03,493.56,503.04,0.0,9.48,0.0,0.0
JMAN_18409944,2023-03-17,168.0,168.0,0.0,0.0,0.0,0.0
JMAN_9034141,2023-03-03,1200.0,1320.0,120.0,0.0,0.0,0.0
JMAN_2478316,2023-01-20,32087.28,32462.76,0.0,375.48,0.0,0.0
JMAN_18409542,2023-03-17,7134.12,7307.52,0.0,173.4,0.0,0.0
JMAN_2456801,2023-01-06,1248.0,1248.0,0.0,0.0,0.0,0.0
JMAN_9026942,2023-02-03,3000.0,1188.0,-1812.0,0.0,0.0,-1812.0
JMAN_2393214,2023-02-24,60.0,60.0,0.0,0.0,0.0,0.0
JMAN_9019962,2023-01-06,528.0,528.0,0.0,0.0,0.0,0.0
JMAN_9164427,2023-03-03,95232.0,96876.0,1644.0,0.0,-18336.0,0.0
JMAN_12537206,2023-02-17,6083.04,12420.0,6336.96,0.0,1896.0,0.0
JMAN_9003564,2023-01-06,3962.28,4008.6,0.0,46.32,0.0,0.0
JMAN_12472512,2023-03-31,5940.0,5940.0,0.0,0.0,0.0,0.0
JMAN_2472417,2023-03-03,2881.2,2881.2,0.0,0.0,0.0,0.0
JMAN_11604060,2023-02-03,1152.6,1203.6,0.0,51.0,0.0,0.0
JMAN_14459683,2023-03-03,15147.0,16929.0,1782.0,0.0,1683.0,0.0
JMAN_2481325,2023-01-06,2940.0,2940.0,0.0,0.0,0.0,0.0
JMAN_9071046,2023-01-06,4086.6,4086.6,0.0,0.0,0.0,0.0
JMAN_2468132,2023-02-03,1800.0,600.0,-1200.0,0.0,-1200.0,0.0
JMAN_2471256,2023-03-31,816.0,816.0,0.0,0.0,0.0,0.0
JMAN_9034076,2023-03-17,174.36,182.64,0.0,8.28,0.0,0.0
JMAN_9000101,2023-01-06,708.0,708.0,0.0,0.0,0.0,0.0
JMAN_9603377,2023-01-20,1500.0,10591.926642995482,-1500.0,0.0,0.0,-1500.0
JMAN_9036409,2023-03-24,708.0,10591.926642995482,-708.0,0.0,0.0,-828.0
JMAN_11201598,2023-03-03,948.0,948.0,0.0,0.0,0.0,0.0
JMAN_9035932,2023-01-13,1144.92,1158.36,0.0,13.44,0.0,0.0
JMAN_10355825,2023-02-24,120.0,120.0,0.0,0.0,0.0,0.0
JMAN_18410392,2023-01-13,228.0,168.0,-60.0,0.0,0.0,0.0
JMAN_2464269,2023-03-10,130.68,10591.926642995482,-133.56,2.88,0.0,-133.56
